ZIP CODE,CONTRIBUTING FACTOR VEHICLE 1
7002.0,Driver Inattention/Distraction
7024.0,Passing Too Closely
10000.0,Unspecified
10001.0,Driver Inattention/Distraction
10002.0,Driver Inattention/Distraction
10003.0,Driver Inattention/Distraction
10004.0,Unspecified
10005.0,Unspecified
10006.0,Unspecified
10007.0,Unspecified
10009.0,Driver Inattention/Distraction
10010.0,Driver Inattention/Distraction
10011.0,Driver Inattention/Distraction
10012.0,Driver Inattention/Distraction
10013.0,Driver Inattention/Distraction
10014.0,Driver Inattention/Distraction
10016.0,Driver Inattention/Distraction
10017.0,Driver Inattention/Distraction
10018.0,Driver Inattention/Distraction
10019.0,Driver Inattention/Distraction
10020.0,Driver Inattention/Distraction
10021.0,Driver Inattention/Distraction
10022.0,Driver Inattention/Distraction
10023.0,Driver Inattention/Distraction
10024.0,Driver Inattention/Distraction
10025.0,Unspecified
10026.0,Driver Inattention/Distraction
10027.0,Driver Inattention/Distraction
10028.0,Driver Inattention/Distraction
10029.0,Driver Inattention/Distraction
10030.0,Driver Inattention/Distraction
10031.0,Unspecified
10032.0,Unspecified
10033.0,Driver Inattention/Distraction
10034.0,Driver Inattention/Distraction
10035.0,Unspecified
10036.0,Driver Inattention/Distraction
10037.0,Unspecified
10038.0,Unspecified
10039.0,Driver Inattention/Distraction
10040.0,Driver Inattention/Distraction
10041.0,Driver Inattention/Distraction
10044.0,Driver Inattention/Distraction
10045.0,Driver Inattention/Distraction
10048.0,Passing Too Closely
10055.0,Driver Inattention/Distraction
10065.0,Driver Inattention/Distraction
10069.0,Driver Inattention/Distraction
10075.0,Driver Inattention/Distraction
10103.0,Driver Inattention/Distraction
10105.0,View Obstructed/Limited
10106.0,Driver Inattention/Distraction
10107.0,Driver Inattention/Distraction
10110.0,Unspecified
10111.0,Driver Inattention/Distraction
10112.0,Driver Inattention/Distraction
10115.0,Driver Inattention/Distraction
10118.0,Driver Inattention/Distraction
10119.0,Driver Inattention/Distraction
10120.0,Unspecified
10121.0,Driver Inattention/Distraction
10122.0,Backing Unsafely
10123.0,Driver Inattention/Distraction
10128.0,Driver Inattention/Distraction
10129.0,Driver Inattention/Distraction
10151.0,Unspecified
10152.0,Failure to Yield Right-of-Way
10153.0,Driver Inattention/Distraction
10154.0,Driver Inattention/Distraction
10155.0,Driver Inattention/Distraction
10158.0,Driver Inattention/Distraction
10162.0,Following Too Closely
10165.0,Driver Inattention/Distraction
10167.0,Passing or Lane Usage Improper
10168.0,Driver Inattention/Distraction
10169.0,Driver Inattention/Distraction
10170.0,Driver Inattention/Distraction
10171.0,Driver Inattention/Distraction
10172.0,Driver Inattention/Distraction
10173.0,Failure to Yield Right-of-Way
10174.0,Driver Inattention/Distraction
10176.0,Outside Car Distraction
10177.0,Following Too Closely
10178.0,Driver Inattention/Distraction
10179.0,Driver Inattention/Distraction
10199.0,Fatigued/Drowsy
10271.0,Unspecified
10275.0,Following Too Closely
10278.0,Unspecified
10279.0,Unspecified
10280.0,Unspecified
10281.0,Unspecified
10282.0,Unspecified
10301.0,Unspecified
10302.0,Driver Inattention/Distraction
10303.0,Driver Inattention/Distraction
10304.0,Driver Inattention/Distraction
10305.0,Driver Inattention/Distraction
10306.0,Driver Inattention/Distraction
10307.0,Unspecified
10308.0,Driver Inattention/Distraction
10309.0,Driver Inattention/Distraction
10310.0,Driver Inattention/Distraction
10311.0,Driver Inattention/Distraction
10312.0,Driver Inattention/Distraction
10314.0,Driver Inattention/Distraction
10451.0,Unspecified
10452.0,Unspecified
10453.0,Unspecified
10454.0,Unspecified
10455.0,Unspecified
10456.0,Unspecified
10457.0,Driver Inattention/Distraction
10458.0,Driver Inattention/Distraction
10459.0,Unspecified
10460.0,Driver Inattention/Distraction
10461.0,Unspecified
10462.0,Unspecified
10463.0,Unspecified
10464.0,Unspecified
10465.0,Unspecified
10466.0,Driver Inattention/Distraction
10467.0,Driver Inattention/Distraction
10468.0,Unspecified
10469.0,Driver Inattention/Distraction
10470.0,Driver Inattention/Distraction
10471.0,Unspecified
10472.0,Unspecified
10473.0,Unspecified
10474.0,Unspecified
10475.0,Unspecified
10705.0,Unspecified
11001.0,Unspecified
11004.0,Unspecified
11005.0,Unspecified
11020.0,Driver Inattention/Distraction
11040.0,Unspecified
11101.0,Driver Inattention/Distraction
11102.0,Driver Inattention/Distraction
11103.0,Driver Inattention/Distraction
11104.0,Driver Inattention/Distraction
11105.0,Driver Inattention/Distraction
11106.0,Driver Inattention/Distraction
11109.0,Driver Inattention/Distraction
11201.0,Unspecified
11203.0,Unspecified
11204.0,Driver Inattention/Distraction
11205.0,Driver Inattention/Distraction
11206.0,Driver Inattention/Distraction
11207.0,Unspecified
11208.0,Unspecified
11209.0,Unspecified
11210.0,Unspecified
11211.0,Driver Inattention/Distraction
11212.0,Unspecified
11213.0,Driver Inattention/Distraction
11214.0,Driver Inattention/Distraction
11215.0,Driver Inattention/Distraction
11216.0,Driver Inattention/Distraction
11217.0,Driver Inattention/Distraction
11218.0,Unspecified
11219.0,Unspecified
11220.0,Unspecified
11221.0,Driver Inattention/Distraction
11222.0,Unspecified
11223.0,Unspecified
11224.0,Driver Inattention/Distraction
11225.0,Driver Inattention/Distraction
11226.0,Unspecified
11227.0,Passing or Lane Usage Improper
11228.0,Driver Inattention/Distraction
11229.0,Unspecified
11230.0,Unspecified
11231.0,Unspecified
11232.0,Unspecified
11233.0,Unspecified
11234.0,Unspecified
11235.0,Unspecified
11236.0,Unspecified
11237.0,Driver Inattention/Distraction
11238.0,Driver Inattention/Distraction
11239.0,Unspecified
11242.0,Following Too Closely
11249.0,Driver Inattention/Distraction
11251.0,Driver Inattention/Distraction
11252.0,Following Too Closely
11354.0,Failure to Yield Right-of-Way
11355.0,Failure to Yield Right-of-Way
11356.0,Failure to Yield Right-of-Way
11357.0,Failure to Yield Right-of-Way
11358.0,Failure to Yield Right-of-Way
11359.0,Following Too Closely
11360.0,Backing Unsafely
11361.0,Driver Inattention/Distraction
11362.0,Driver Inattention/Distraction
11363.0,Driver Inattention/Distraction
11364.0,Driver Inattention/Distraction
11365.0,Driver Inattention/Distraction
11366.0,Driver Inattention/Distraction
11367.0,Driver Inattention/Distraction
11368.0,Driver Inattention/Distraction
11369.0,Driver Inattention/Distraction
11370.0,Driver Inattention/Distraction
11371.0,Driver Inattention/Distraction
11372.0,Driver Inattention/Distraction
11373.0,Driver Inattention/Distraction
11374.0,Driver Inattention/Distraction
11375.0,Driver Inattention/Distraction
11377.0,Driver Inattention/Distraction
11378.0,Unspecified
11379.0,Unspecified
11385.0,Unspecified
11411.0,Unspecified
11412.0,Unspecified
11413.0,Unspecified
11414.0,Driver Inattention/Distraction
11415.0,Driver Inattention/Distraction
11416.0,Driver Inattention/Distraction
11417.0,Driver Inattention/Distraction
11418.0,Driver Inattention/Distraction
11419.0,Driver Inattention/Distraction
11420.0,Driver Inattention/Distraction
11421.0,Driver Inattention/Distraction
11422.0,Unspecified
11423.0,Driver Inattention/Distraction
11425.0,Following Too Closely
11426.0,Unspecified
11427.0,Unspecified
11428.0,Unspecified
11429.0,Unspecified
11430.0,Driver Inattention/Distraction
11432.0,Driver Inattention/Distraction
11433.0,Driver Inattention/Distraction
11434.0,Unspecified
11435.0,Driver Inattention/Distraction
11436.0,Unspecified
11439.0,Following Too Closely
11691.0,Unspecified
11692.0,Unspecified
11693.0,Driver Inattention/Distraction
11694.0,Driver Inattention/Distraction
11695.0,Driver Inattention/Distraction
11697.0,Driver Inattention/Distraction
12692.0,Following Too Closely
